timestamp,open,high,low,close,volume
2026-08-20,117.0500,117.4000,116.3750,116.6800,5129135
2026-08-19,116.9000,119.0600,116.7300,118.5900,7526407
2026-08-18,116.7000,117.5800,116.0700,116.3600,5287015
2026-08-17,117.9600,117.9600,116.4941,116.7500,6884914
2026-08-14,118.4700,119.1750,118.0900,118.2000,3839277
2026-08-13,118.0400,118.9300,117.8850,118.4500,4521072
2026-08-12,119.3200,119.3200,117.5500,117.8900,4486935
2026-08-11,119.6700,119.9600,119.1100,119.2400,3788630
2026-08-10,119.2250,119.8550,118.8600,119.6700,4466197
2026-08-07,118.5200,120.4350,118.4973,119.8600,5077365
2026-08-06,118.6100,118.7950,117.7050,118.1000,4827897
2026-08-05,119.2800,119.6400,118.0700,118.6400,6117485
2026-08-04,117.5300,118.5650,117.1200,118.2900,10500947
2026-08-03,117.6400,119.1200,117.6400,118.2100,10041503
2026-07-31,115.4400,116.3900,114.9700,116.0900,13158076
2026-07-30,112.1700,112.7950,111.4600,112.3900,8074561
2026-07-29,111.9500,113.5900,111.4400,111.6100,7534395
2026-07-28,111.6600,112.5300,111.2500,112.4800,6018139
2026-07-27,110.8700,111.3600,110.3000,110.8400,6979358
2026-07-24,109.1000,109.9350,108.6500,109.4100,8210826
2026-07-23,110.4800,110.5900,108.2900,108.7600,12650403
2026-07-22,114.9000,115.2300,113.8200,114.0200,7106380
2026-07-21,114.6400,115.1700,114.2800,114.8700,6557798
2026-07-20,116.2200,116.2200,114.3800,114.6100,7804561
2026-07-17,115.9100,116.8700,115.3200,115.4400,10275143
2026-07-16,117.1200,118.2150,116.8600,117.3400,6057041
2026-07-15,116.4600,117.8100,116.4550,117.0000,9073173
2026-07-14,116.0100,116.4000,115.4600,115.9000,6669325
2026-07-13,117.2000,117.5200,115.6200,116.0400,5984858
2026-07-10,117.5900,117.8900,116.4800,117.2400,5971515
2026-07-09,114.7200,116.8750,114.5500,116.8500,8521800
2026-07-08,116.3100,116.3200,114.4350,115.3000,15042711
2026-07-07,118.9200,119.1200,117.1050,117.3900,9191388
2026-07-06,117.5250,118.1900,116.1000,118.0100,9063611
2026-07-02,118.6300,119.2100,116.5750,117.1200,10884629
2026-07-01,117.7800,119.1575,116.9000,118.0900,9864277
2026-06-30,116.2300,117.5700,116.2300,117.2800,5167933
2026-06-29,115.2100,117.5400,115.0400,117.1200,10587032
2026-06-26,113.2000,115.4600,113.1600,114.3700,8948980
2026-06-25,114.6500,115.0600,113.1300,113.3500,7151313
2026-06-24,114.1500,116.9600,113.9300,115.0700,8301392
2026-06-23,113.9500,114.6600,113.4700,113.7600,9196184
2026-06-22,115.9900,116.9150,114.8700,114.9400,7555578
2026-06-18,116.6500,117.6550,115.5400,117.1600,8728589
2026-06-17,117.8100,118.1700,115.1800,115.4900,9065846
2026-06-16,118.6700,119.4600,118.3400,118.4600,6050542
2026-06-15,118.6100,119.5100,118.3100,118.5700,6590561
2026-06-12,117.0200,117.0213,114.8150,116.6000,7655293
2026-06-11,114.1200,116.4600,113.4400,116.3000,8680424
2026-06-10,115.4600,115.6800,113.3800,113.4900,7515067
2026-06-09,116.1600,117.5850,114.2450,115.8700,8203595
2026-06-08,114.7700,116.0200,114.7700,115.3900,6307785
2026-06-05,117.4000,118.1000,114.5700,114.8600,7699475
2026-06-04,117.9600,118.1900,117.0400,117.2600,4969936
2026-06-03,116.6300,117.6200,116.1250,116.7300,6086390
2026-06-02,117.5200,118.2700,116.5550,117.5900,8219333
2026-06-01,119.6900,119.8280,117.9700,118.1900,11012185
2026-05-29,121.6000,122.1800,120.8300,120.8700,7257984
2026-05-28,121.1000,122.1900,120.5700,122.0600,7591898
2026-05-27,120.6900,121.9450,120.5500,121.5500,13117711
2026-05-26,119.7300,120.2350,118.6950,119.4500,5007115
2026-05-22,119.1600,119.8700,118.9750,119.1800,5289814
2026-05-21,117.5900,119.2150,116.8050,118.7000,7082359
2026-05-20,115.2700,117.9500,114.7800,117.9400,12141071
2026-05-19,115.1300,115.3150,114.1950,115.0300,8578397
2026-05-18,116.5000,117.7800,115.5400,116.3200,9985229
2026-05-15,117.3100,117.3700,116.3100,116.5300,10454179
2026-05-14,119.0100,119.6800,118.5550,118.6700,5966792
2026-05-13,118.0600,119.2300,117.4500,118.7200,4611751
2026-05-12,119.0300,119.3500,117.4450,118.2900,6622112
2026-05-11,119.3800,119.8600,118.5100,119.3700,5829368
2026-05-08,120.2500,121.1300,119.9400,120.2000,6054229
2026-05-07,120.5900,121.1000,119.3200,119.8800,7928256
2026-05-06,118.9700,120.5350,118.7700,119.8700,10430734
2026-05-05,118.5900,119.2900,118.0500,118.0700,6216889
2026-05-04,118.3500,119.3000,117.1900,117.7200,10738021
2026-05-01,118.6100,119.7700,117.8200,118.6300,13071325
2026-04-30,118.5000,118.6700,116.4300,118.3500,10280790
2026-04-29,116.2100,117.1250,116.1300,116.8400,8155385
2026-04-28,117.4500,117.7900,116.8700,117.0100,6740884
2026-04-27,118.0900,118.4500,117.2750,117.8400,6915987
2026-04-24,118.1400,118.9000,117.6700,118.6900,5545998
2026-04-23,118.2200,118.8500,116.6650,117.7400,7530908
2026-04-22,119.5300,119.7600,118.6600,118.9300,5289873
2026-04-21,120.8350,120.9050,118.6800,118.9700,7208431
2026-04-20,120.1400,120.4000,118.8450,119.8700,5450255
2026-04-17,119.6900,121.8500,119.4600,120.4100,9839704
2026-04-16,118.4000,118.5500,117.1000,117.6300,5672123
2026-04-15,116.5300,118.4400,116.1500,118.1800,8034872
2026-04-14,114.6500,116.8250,114.5750,116.4400,8128618
2026-04-13,112.3400,113.9450,112.0000,113.9200,5992591
